MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
503,PENAL,GUAJIRA,5,REGLAMENTO,MALO ,NO,,
520,SCRUM,META,1,TACTICA,BUENO,NO,,
555,PENAL,META,6,REGLAMENTO,MALO ,NO,,
602,TRY,META,6,FISICO ,REGULAR,SI,,
620,CONVERSION,META,6,TECNICA,BUENO,NO,,
710,KICK-OFF,META,2,TECNICA,BUENO,NO,,
718,COMPLETA ,GUAJIRA,7,TECNICA,BUENO,NO,,
722,VUELTA,GUAJIRA,6,TACTICA,MALO ,NO,,
725,KNOCK-ON,GUAJIRA,5,TACTICA,REGULAR,NO,,
1,KICK-OFF,META,2,TECNICA,BUENO,NO,,
37,ERROR TACTICO,GUAJIRA,4,COMUNICACION ,MALO ,NO,,
54,TRY,GUAJIRA,7,TACTICA,BUENO,NO,,
110,CONVERSION,GUAJIRA,4,TECNICA,MALO ,NO,,
130,KICK-OFF,GUAJIRA,2,TECNICA,BUENO,NO,,
203,VUELTA,META,4,TACTICA,MALO ,NO,,
218,COMPLETA ,META,7,TACTICA,BUENO,NO,,
236,PENAL,GUAJIRA,5,REGLAMENTO,MALO ,NO,,
246,JUEGO RAPIDO ,META,4,TACTICA,MALO ,NO,,
323,ERROR TACTICO,META,5,TACTICA,MALO ,NO,,
343,TRY,GUAJIRA,4,FISICO ,BUENO,SI,,
410,CONVERSION,GUAJIRA,4,TECNICA,MALO ,SI,,
422,KICK-OFF,GUAJIRA,2,TECNICA,BUENO,NO,,
448,ERROR DE MANOS ,META,5,TECNICA,MALO ,SI,,
458,TRY,META,7,FISICO ,BUENO,NO,,
520,CONVERSION,GUAJIRA,4,TECNICA,BUENO,NO,,
540,KICK-OFF,GUAJIRA,-,TECNICA,MALO ,NO,,
610,JUEGO RAPIDO ,META,4,TACTICA,MALO ,NO,,
620,PENAL AMARILLA ,META,4,TECNICA,MALO ,NO,,
630,JUEGO RAPIDO ,GUAJIRA,5,TACTICA,MALO ,NO,,
658,PENAL,GUAJIRA,5,TACTICA,MALO ,NO,,
701,JUEGO RAPIDO ,META,4,TACTICA,REGULAR,NO,,
728,PENAL,GUAJIRA,6,REGLAMENTO,MALO ,NO,,
752,LINE OUT,META,1,TACTICA,BUENO,NO,,
810,PENAL AMARILLA ,GUAJIRA,5,REGLAMENTO,MALO ,NO,,
901,COMPLETA ,META,7,TACTICA,REGULAR,NO,,
902,ERROR DE MANOS ,META,7,TACTICA,MALO ,NO,,
918,TRY,GUAJIRA,7,FISICO ,BUENO,SI,,
942,CONVERSION,GUAJIRA,4,TECNICA,BUENO,NO,,
,,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
1,KICK-OFF,BOLIVAR,0,TECNICA,BUENO,SI,,
6,KNOCK-ON,BOLIVAR,5,TECNICA,MALO ,SI,,
10,COMPLETA ,SANTANDER,7,TACTICA,BUENO,NO,,
20,TRY,SANTANDER,7,FISICO ,BUENO,NO,,
40,CONVERSIÓN,SANTANDER,4,TECNICA,BUENO,NO,,
105,KICK-OFF,SANTANDER,4,TECNICA,BUENO,SI,,
117,ERROR DE MANOS ,BOLIVAR,7,TECNICA,MALO ,SI,,
140,LINE OUT,SANTANDER,2,TECNICA,BUENO,NO,,
150,KNOCK-ON,SANTANDER,6,FISICO ,MALO ,SI,,
230,SCRUM,BOLIVAR,1,TECNICA,MALO ,SI,,
240,VUELTA,BOLIVAR,5,TACTICA,MALO ,SI,,
245,PENAL,BOLIVAR,5,TECNICA,MALO ,SI,,
245,JUEGO RAPIDO ,SANTANDER,4,TACTICA,BUENO,NO,,
257,COMPLETA ,SANTANDER,7,TACTICA,BUENO,NO,,
258,TRY,SANTANDER,7,FISICO ,BUENO,SI,,
350,KICK-OFF,SANTANDER,1,TECNICA,BUENO,SI,,
357,ERROR DE MANOS ,BOLIVAR,7,TECNICA,MALO ,SI,,
411,LINE OUT,BOLIVAR,-,TACTICA,BUENO,NO,,
440,SCRUM,SANTANDER,-,REGLAMENTO,MALO ,SI,,
501,JUEGO RAPIDO ,BOLIVAR,6,TACTICA,BUENO,NO,,
510,ERROR DE MANOS ,BOLIVAR,5,TECNICA,MALO ,NO,,
516,PENAL,SANTANDER,6,REGLAMENTO,MALO ,NO,,
518,JUEGO RAPIDO ,BOLIVAR,5,TACTICA,BUENO,NO,,
530,PENAL,SANTANDER,5,FISICO ,MALO ,NO,,
554,VUELTA,BOLIVAR,5,TACTICA,MALO ,NO,,
603,ERROR TACTICO,BOLIVAR,4,COMUNICACION ,MALO ,NO,,
620,PENAL,BOLIVAR,6,FISICO ,MALO ,SI,,
650,LINE OUT,SANTANDER,2,TACTICA,BUENO,NO,,
711,COMPLETA ,SANTANDER,7,TACTICA,BUENO,NO,,
720,TRY,SANTANDER,7,TACTICA,BUENO,SI,,
750,CONVERSION,SANTANDER,4,TECNICA,MALO ,SI,,
1,KICK-OFF,SANTANDER,2,TACTICA,REGULAR,NO,,
14,JUEGO CON EL PIE ,BOLIVAR,4,TECNICA,MALO ,NO,,
17,PENAL,SANTANDER,7,REGLAMENTO,MALO ,NO,,
30,JUEGO RAPIDO ,BOLIVAR,7,TACTICA,BUENO,NO,,
40,ERROR DE MANOS ,BOLIVAR,6,TECNICA,MALO ,NO,,
55,PENAL,BOLIVAR,7,REGLAMENTO,MALO ,NO,,
130,LINE OUT,SANTANDER,2,DESICION ,MALO ,NO,,
146,ERROR TACTICO,BOLIVAR,4,COMUNICACION ,MALO ,NO,,
156,PENAL,SANTANDER,7,TECNICA,MALO ,NO,,
159,JUEGO RAPIDO ,BOLIVAR,7,TACTICA,REGULAR,NO,,
201,JUEGO CON EL PIE ,BOLIVAR,2,TECNICA,BUENO,SI,,
213,KNOCK-ON,BOLIVAR,7,TACTICA,MALO ,NO,,
231,LINE OUT,SANTANDER,-,TECNICA,MALO ,NO,,
255,LINE OUT,BOLIVAR,2,TECNICA,BUENO,NO,,
257,KNOCK-ON,BOLIVAR,3,FISICO ,MALO ,SI,,
310,KNOCK-ON,SANTANDER,5,TECNICA,MALO ,SI,,
320,SCRUM,BOLIVAR,2,TECNICA,REGULAR,NO,,
411,TRY,BOLIVAR,6,FISICO ,BUENO,SI,,
430,CONVERSION,BOLIVAR,4,TECNICA,MALO ,SI,,
450,KICK-OFF,BOLIVAR,3,TECNICA,MALO ,NO,,
530,ERROR DE MANOS ,SANTANDER,6,TACTICA,BUENO,SI,,
537,TRY,SANTANDER,5,TACTICA,BUENO,SI,,
558,CONVERSIÓN,SANTANDER,4,TECNICA,BUENO,SI,,
630,KICK-OFF,SANTANDER,2,TECNICA,REGULAR,NO,,
642,KNOCK-ON,BOLIVAR,7,TECNICA,MALO ,NO,,
,,,,,,,,
,,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
1,KICK-OFF,META,4,TECNICA,BUENO,NO,,
17,ERROR DE MANOS ,RISARALDA,5,TECNICA,MALO ,NO,,
25,PENAL,RISARALDA,6,TECNICA,MALO ,NO,,
30,TIRO RAPIDO,META,4,TACTICA,REGULAR,NO,,
32,ERROR DE MANOS ,META,4,TACTICA,MALO ,NO,,
41,PASS-FORWARD,META,5,TECNICA,MALO ,NO,,
58,SCRUM,RISARALDA,4,TECNICA,MALO ,SI,,
140,TRY,META,6,FISICO ,BUENO,SI,,
159,CONVERSION,META,4,TECNICA,BUENO,NO,,
231,KICK-OFF,META,3,TECNICA,BUENO,NO,,
244,PENAL,META,4,FISICO ,MALO ,NO,,
245,JUEGO RAPIDO ,RISARALDA,4,TACTICA,MALO ,NO,,
313,PENAL AMARILLA ,META,6,FISICO ,MALO ,NO,,
325,SCRUM,RISARALDA,1,TECNICA,MALO ,NO,,
330,PASS-FORWARD,RISARALDA,6,TECNICA,MALO ,NO,,
350,SCRUM,META,1,TECNICA,BUENO,NO,,
424,KNOCK-ON,META,4,TECNICA,MALO ,NO,,
447,SCRUM,RISARALDA,1,TECNICA,MALO ,NO,,
454,PENAL,RISARALDA,1,FISICO ,NA,SI,,
501,JUEGO AL PIE ,META,-,TECNICA,MALO ,NO,,
530,SCRUM,RISARALDA,1,TECNICA,BUENO,NO,,
540,ERROR DE MANOS ,RISARALDA,6,TACTICA,MALO ,NO,,
611,TRY,META,7,FISICO ,REGULAR,NO,,
634,CONVERSION,META,6,TECNICA,MALO ,NO,,
1,KICK-OFF,RISARALDA,0,TECNICA,REGULAR,NO,,
20,JUEGO AL PIE ,META,4,TECNICA,MALO ,NO,,
25,JUEGO AL PIE ,RISARALDA,4,TECNICA,BUENO,SI,,
37,TRY,RISARALDA,5,TECNICA,BUENO,SI,,
50,CONVERSION,RISARALDA,4,TECNICA,MALO ,NO,,
119,KICK-OFF,RISARALDA,3,TACTICA,BUENO,NO,,
130,VUELTA,META,6,TACTICA,BUENO,NO,,
143,ERROR DE MANOS ,META,5,TACTICA,MALO ,NO,,
156,PENAL,META,5,REGLAMENTO,MALO ,NO,,
158,TIRO RAPIDO,RISARALDA,4,TACTICA,REGULAR,NO,,
207,PENAL,META,6,REGLAMENTO,MALO ,NO,,
215,JUEGO RAPIDO ,RISARALDA,5,TACTICA,BUENO,NO,,
237,TRY,RISARALDA,5,FISICO ,BUENO,SI,,
236,PENAL AMARILLA ,META,5,FISICO ,MALO ,NO,,
310,KICK-OFF,RISARALDA,0,TACTICA,BUENO,NO,,
342,LINE OUT,RISARALDA,3,TECNICA,MALO ,NO,,
402,PENAL AMARILLA ,RISARALDA,3,REGLAMENTO,MALO ,NO,,
405,JUEGO RAPIDO ,META,4,TACTICA,REGULAR,NO,,
405,VUELTA,META,4,TACTICA,NA,NO,,
410,TRY,META,4,FISICO ,BUENO,SI,,
430,CONVERSION,META,4,TECNICA,BUENO,NO,,
501,KICK-OFF,META,2,TECNICA,BUENO,NO,,
510,ERROR DE MANOS ,RISARALDA,7,TECNICA,MALO ,SI,,
540,PENAL,RISARALDA,4,FISICO ,MALO ,SI,,
545,JUEGO RAPIDO ,META,4,TACTICA,MALO ,NO,,
546,VUELTA,META,4,DESICION ,REGULAR,NO,,
559,JUEGO CON EL PIE ,META,5,TECNICA,BUENO,NO,,
600,TRY,META,5,TECNICA,BUENO,SI,,
630,CONVERSION,META,4,TECNICA,MALO ,SI,,
650,KICK-OFF,META,4,TECNICA,BUENO,NO,,
710,PENAL,RISARALDA,6,TECNICA,MALO ,NO,,
,,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
1,KICK-OFF,VALLE,4,TECNICA,BUENO,SI,,
12,KNOCK-ON,GUAJIRA,7,TACTICA,MALO ,NO,,
50,ERROR DE MANOS ,VALLE,5,FISICO ,MALO ,SI,,
112,SCRUM,VALLE,1,TECNICA,MALO ,SI,,
130,COMPLETA ,GUAJIRA,7,TACTICA,BUENO,NO,,
150,PENAL,GUAJIRA,6,TACTICA,NA,NO,,
151,SCRUM,VALLE,1,TECNICA,BUENO,NO,,
232,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,NO,,
241,PENAL,VALLE,3,TACTICA,MALO ,NO,,
244,JUEGO RAPIDO ,GUAJIRA,6,TACTICA,REGULAR,NO,,
302,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,NO,,
323,PENAL,GUAJIRA,1,TACTICA,MALO ,NO,,
344,SCRUM,VALLE,1,TECNICA,BUENO,NO,,
401,KNOCK-ON,VALLE,4,TECNICA,MALO ,NO,,
410,SCRUM,GUAJIRA,1,TECNICA,BUENO,NO,,
412,ERROR DE MANOS ,GUAJIRA,4,TECNICA,MALO ,NO,,
432,PENAL,VALLE,6,REGLAMENTO,MALO ,NO,,
437,JUEGO RAPIDO ,GUAJIRA,4,TACTICA,BUENO,NO,,
438,TRY,GUAJIRA,4,FISICO ,BUENO,NO,,
448,CONVERSION,GUAJIRA,4,TECNICA,BUENO,NO,,
510,KICK-OFF,GUAJIRA,2,TECNICA,BUENO,NO,,
537,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,NO,,
548,KNOCK-ON,VALLE,-,TECNICA,BUENO,SI,,
622,JUEGO RAPIDO ,VALLE,4,TACTICA,BUENO,NO,,
