MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,lado 
1206,SCRUM,ATLANTICO,4,TACTICA,BUENO,SI,
1242,PENAL,GUAJIRA,6,FISICO ,MALO ,SI,
1243,PENAL AMARILLA ,GUAJIRA,7,REGLAMENTO,MALO ,NO,
1250,SCRUM,ATLANTICO,4,TACTICA,BUENO,NO,
1312,FREE-KICK,ATLANTICO,4,TACTICA,BUENO,SI,
1330,VUELTA,ATLANTICO,5,TACTICA,BUENO,NO,
1331,KNOCK-ON,ATLANTICO,5,DESICION ,MALO ,SI,
1340,SALIDA 22,GUAJIRA,4,TECNICA,MALO ,NO,
1423,TRY,ATLANTICO,6,DESICION ,BUENO,NO,
1433,CONVERSIÓN,ATLANTICO,4,TECNICA,BUENO,NO,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,ANTIOQUIA,3,TACTICA,BUENO,NO,I
8,KNOCK-ON,BOGOTA,5,TECNICA,MALO ,SI,
26,COMPLETA ,BOGOTA,7,TACTICA,BUENO,SI,
47,ERROR DE MANOS ,BOGOTA,4,TECNICA,MALO ,SI,
48,VUELTA,BOGOTA,4,TACTICA,MALO ,SI,
123,VUELTA,BOGOTA,5,TACTICA,MALO ,SI,
128,PENAL,BOGOTA,4,FISICO ,MALO ,SI,
133,JUEGO RAPIDO ,ANTIOQUIA,4,TACTICA,REGULAR,NO,
148,ERROR DE MANOS ,ANTIOQUIA,7,TECNICA,MALO ,NO,
155,QUIEBRE ,BOGOTA,6,FISICO ,BUENO,SI,
209,PENAL,ANTIOQUIA,4,FISICO ,MALO ,SI,
215,JUEGO RAPIDO ,BOGOTA,6,TACTICA,REGULAR,NO,
220,VUELTA,BOGOTA,4,TACTICA,REGULAR,NO,
224,TRY,BOGOTA,6,TACTICA,BUENO,SI,hubo una Kind a pantalla del interno del tackleador
225,CONVERSIÓN,BOGOTA,5,FISICO ,MALO ,NO,
316,KICK-OFF,BOGOTA,4,TECNICA,BUENO,NO,I
327,TRY,ANTIOQUIA,7,FISICO ,BUENO,SI,
329,CONVERSIÓN,ANTIOQUIA,4,TECNICA,BUENO,NO,
404,KICK-OFF,ANTIOQUIA,4,TACTICA,BUENO,NO,
426,SCRUM,ANTIOQUIA,4,REGLAMENTO,REGULAR,NO,
441,ERROR DE MANOS ,ANTIOQUIA,5,DESICION ,MALO ,NO,
503,VUELTA,BOGOTA,5,DESICION ,MALO ,NO,
516,PENAL,ANTIOQUIA,4,REGLAMENTO,MALO ,SI,
551,ERROR DE MANOS ,ANTIOQUIA,3,TECNICA,MALO ,NO,
605,PENAL,ANTIOQUIA,4,REGLAMENTO,MALO ,SI,
623,LINE OUT,BOGOTA,4,DESICION ,BUENO,NO,
640,ERROR DE MANOS ,BOGOTA,7,FISICO ,MALO ,NO,
705,PENAL AMARILLA ,BOGOTA,5,REGLAMENTO,MALO ,NO,
719,JUEGO RAPIDO ,ANTIOQUIA,4,DESICION ,REGULAR,NO,
726,ERROR DE MANOS ,ANTIOQUIA,7,TECNICA,MALO ,NO,
,,,,,,,
1,KICK-OFF,BOGOTA,4,TACTICA,BUENO,NO,D
9,KNOCK-ON,ANTIOQUIA,7,TECNICA,MALO ,SI,
18,SCRUM,BOGOTA,4,DESICION ,BUENO,SI,
50,VUELTA,BOGOTA,7,TACTICA,BUENO,NO,
50,PENAL,BOGOTA,5,REGLAMENTO,BUENO,NO,
59,JUEGO RAPIDO ,ANTIOQUIA,7,TACTICA,BUENO,NO,
110,TRY,ANTIOQUIA,7,DESICION ,BUENO,NO,
122,CONVERSIÓN,ANTIOQUIA,4,TACTICA,BUENO,NO,
156,KICK-OFF,ANTIOQUIA,-,TECNICA,BUENO,NO,
206,FREE-KICK,BOGOTA,4,TACTICA,BUENO,SI,
218,VENTAJA,BOGOTA,4,TACTICA,BUENO,NO,
240,PENAL AMARILLA ,ANTIOQUIA,5,REGLAMENTO,MALO ,SI,
244,JUEGO RAPIDO ,BOGOTA,5,DESICION ,MALO ,NO,
259,ERROR DE MANOS ,BOGOTA,5,DESICION ,MALO ,SI,
322,ERROR DE MANOS ,ANTIOQUIA,4,TACTICA,MALO ,NO,
408,SCRUM,ANTIOQUIA,4,REGLAMENTO,REGULAR,SI,
449,JUEGO CON EL PIE ,ANTIOQUIA,4,DESICION ,BUENO,SI,
450,TRY,ANTIOQUIA,2,DESICION ,BUENO,SI,
520,CONVERSIÓN,ANTIOQUIA,4,TACTICA,BUENO,NO,
557,KICK-OFF,ANTIOQUIA,-,TACTICA,MALO ,NO,
610,SCRUM,BOGOTA,4,TACTICA,REGULAR,SI,
645,VUELTA,BOGOTA,4,DESICION ,REGULAR,NO,
651,KNOCK-ON,BOGOTA,4,TECNICA,MALO ,SI,
743,JUEGO RAPIDO ,ANTIOQUIA,4,DESICION ,REGULAR,NO,
755,PENAL,BOGOTA,7,FISICO ,REGULAR,NO,
757,JUEGO RAPIDO ,ANTIOQUIA,4,TACTICA,BUENO,NO,
802,PENAL AMARILLA ,BOGOTA,2,REGLAMENTO,MALO ,SI,
815,ERROR DE MANOS ,ANTIOQUIA,6,TECNICA,MALO ,NO,
825,JUEGO AL PIE ,BOGOTA,5,TACTICA,REGULAR,NO,
847,PENAL,ANTIOQUIA,6,REGLAMENTO,MALO ,SI,
913,VUELTA,BOGOTA,5,TACTICA,REGULAR,SI,
925,TRY,BOGOTA,6,FISICO ,BUENO,NO,
946,CONVERSIÓN,BOGOTA,5,TECNICA,MALO ,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,RISARALDA,1,TECNICA,BUENO,SI,D
10,ERROR DE MANOS ,META,6,TECNICA,MALO ,NO,
22,ERROR DE MANOS ,RISARALDA,5,TECNICA,MALO ,NO,
31,PENAL,META,6,REGLAMENTO,MALO ,NO,
40,PENAL,META,5,FISICO ,MALO ,NO,
45,JUEGO RAPIDO ,RISARALDA,4,TACTICA,MALO ,NO,
50,PASS-FORWARD,RISARALDA,5,REGLAMENTO,MALO ,NO,
101,JUEGO RAPIDO ,META,4,TACTICA,BUENO,NO,
104,ERROR DE MANOS ,META,6,TACTICA,MALO ,NO,
111,PENAL,RISARALDA,6,FISICO ,MALO ,NO,
113,JUEGO RAPIDO ,META,4,TACTICA,REGULAR,NO,
126,ERROR DE MANOS ,META,7,TACTICA,MALO ,NO,
127,SCRUM,RISARALDA,4,REGLAMENTO,REGULAR,SI,
158,PENAL,META,1,REGLAMENTO,MALO ,NO,
208,SCRUM,RISARALDA,4,DESICION ,BUENO,NO,
238,PENAL,RISARALDA,1,REGLAMENTO,MALO ,NO,
245,JUEGO RAPIDO ,META,4,DESICION ,REGULAR,NO,
255,ERROR DE MANOS ,META,7,TECNICA,MALO ,NO,
305,PENAL AMARILLA ,META,7,REGLAMENTO,MALO ,NO,
310,LINE OUT,RISARALDA,4,REGLAMENTO,BUENO,NO,
348,PENAL,RISARALDA,5,REGLAMENTO,MALO ,NO,
355,SCRUM,META,1,DESICION ,BUENO,SI,
431,VUELTA,META,4,DESICION ,MALO ,NO,
441,LINE OUT,RISARALDA,4,TACTICA,REGULAR,NO,
508,VUELTA,RISARALDA,1,TACTICA,REGULAR,SI,
516,ERROR DE MANOS ,RISARALDA,4,DESICION ,MALO ,NO,
520,SCRUM,META,2,TACTICA,REGULAR,SI,
535,ERROR DE MANOS ,META,4,DESICION ,MALO ,NO,
551,PENAL,RISARALDA,2,REGLAMENTO,MALO ,NO,
554,JUEGO RAPIDO ,META,4,DESICION ,REGULAR,NO,
606,DUELO ,META,6,TACTICA,BUENO,NO,
610,TRY,META,5,TACTICA,BUENO,NO,
622,CONVERSIÓN,META,4,TACTICA,BUENO,NO,
707,KICK-OFF,META,-,TACTICA,REGULAR,SI,
720,DUELO ,RISARALDA,6,TACTICA,BUENO,NO,I
746,ERROR DE MANOS ,RISARALDA,6,TECNICA,MALO ,SI,
755,JUEGO CON EL PIE ,META,7,TACTICA,REGULAR,SI,
825,ERROR DE MANOS ,RISARALDA,6,TECNICA,MALO ,SI,
829,SCRUM,META,1,TACTICA,REGULAR,SI,
901,PENAL,RISARALDA,2,REGLAMENTO,MALO ,NO,
910,JUEGO RAPIDO ,META,4,DESICION ,REGULAR,NO,
928,COMPLETA ,META,7,DESICION ,BUENO,NO,
933,QUIEBRE,META,5,DESICION ,BUENO,SI,
939,JUEGO CON EL PIE ,META,5,DESICION ,BUENO,NO,
952,ERROR DE MANOS ,META,6,TECNICA,MALO ,SI,
1009,COMPLETA ,RISARALDA,7,TACTICA,BUENO,NO,
1018,PENAL AMARILLA ,META,4,REGLAMENTO,MALO ,NO,
1024,JUEGO RAPIDO ,RISARALDA,4,DESICION ,REGULAR,NO,
1025,VUELTA,RISARALDA,4,TACTICA,BUENO,NO,
1033,TRY,RISARALDA,4,DESICION ,BUENO,NO,
1051,CONVERSIÓN,RISARALDA,4,TECNICA,BUENO,NO,
1122,KICK-OFF,RISARALDA,4,TACTICA,BUENO,NO,D
