MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
145,JUEGO RAPIDO ,ATLANTICO,1,TACTICA,MALO ,NO,
210,PENAL,ATLANTICO,2,REGLAMENTO,BUENO,SI,
211,PENAL AMARILLA ,ATLANTICO,4,REGLAMENTO,MALO ,NO,
215,JUEGO RAPIDO ,NORTE,2,TACTICA,BUENO,NO,
227,JUEGO CON EL PIE ,NORTE,4,TACTICA,MALO ,NO,
243,ERROR TACTICO,ATLANTICO,2,COMUNICACION ,MALO ,NO,
250,TRY,NORTE,7,FISICO ,BUENO,SI,
300,CONVERSION,NORTE,7,TECNICA,MALO ,SI,
330,KICK-OFF,NORTE,5,TECNICA,BUENO,NO,
350,PENAL,NORTE,4,FISICO ,MALO ,NO,
352,JUEGO RAPIDO ,ATLANTICO,4,TACTICA,BUENO,NO,
353,COMPLETA ,ATLANTICO,7,TACTICA,BUENO,NO,
412,ERROR DE MANOS ,ATLANTICO,7,TECNICA,MALO ,SI,
416,ERROR DE MANOS ,NORTE,6,TECNICA,MALO ,NO,
430,PENAL AMARILLA ,NORTE,7,REGLAMENTO,MALO ,NO,
440,SCRUM,ATLANTICO,4,TECNICA,MALO ,SI,
514,ERROR DE MANOS ,ATLANTICO,6,TACTICA,MALO ,NO,
523,SCRUM,ATLANTICO,4,TECNICA,MALO ,SI,
601,TRY,ATLANTICO,6,FISICO ,BUENO,SI,
617,CONVERSION,ATLANTICO,4,TECNICA,MALO ,SI,
635,KICK-OFF,ATLANTICO,3,TECNICA,BUENO,NO,
651,LINE OUT,NORTE,1,TECNICA,BUENO,NO,
730,JUEGO CON EL PIE ,NORTE,4,TECNICA,BUENO,SI,
743,KNOCK-ON,ATLANTICO,4,TACTICA,MALO ,SI,
1,KICK-OFF,NORTE,4,TECNICA,BUENO,SI,
4,ERROR DE MANOS ,ATLANTICO,2,TECNICA,REGULAR,NO,
34,PENAL,NORTE,6,FISICO ,MALO ,SI,
38,JUEGO RAPIDO ,ATLANTICO,7,TACTICA,REGULAR,NO,
46,VUELTA,ATLANTICO,5,TACTICA,MALO ,NO,
53,VUELTA,ATLANTICO,5,TACTICA,MALO ,NO,
54,ERROR DE MANOS ,ATLANTICO,5,TECNICA,MALO ,NO,
110,PENAL,NORTE,5,TECNICA,MALO ,SI,
111,JUEGO RAPIDO ,ATLANTICO,5,TACTICA,MALO ,NO,
127,PENAL,NORTE,7,REGLAMENTO,MALO ,NO,
128,JUEGO RAPIDO ,ATLANTICO,6,TACTICA,MALO ,NO,
153,PENAL,ATLANTICO,5,FISICO ,REGULAR,SI,
156,JUEGO RAPIDO ,NORTE,5,TACTICA,REGULAR,NO,
159,COMPLETA ,NORTE,7,TACTICA,BUENO,NO,
214,VUELTA,NORTE,3,TACTICA,MALO ,NO,
223,VENTAJA,NORTE,4,TACTICA,MALO ,NO,
229,VUELTA,NORTE,5,TACTICA,BUENO,NO,
248,TRY,NORTE,5,FISICO ,BUENO,SI,
252,CONVERSIÓN,NORTE,4,TECNICA,MALO ,NO,
310,KICK-OFF,NORTE,2,TECNICA,REGULAR,SI,
332,VUELTA,ATLANTICO,3,TACTICA,REGULAR,SI,
336,TRY,NORTE,7,TECNICA,BUENO,SI,
410,CONVERSION,NORTE,4,TECNICA,MALO ,SI,
450,KICK-OFF,NORTE,2,TECNICA,REGULAR,NO,
455,VUELTA,ATLANTICO,5,DESICION ,MALO ,NO,
518,PENAL,ATLANTICO,3,REGLAMENTO,MALO ,SI,
519,JUEGO RAPIDO ,NORTE,1,TACTICA,BUENO,NO,
532,PENAL,NORTE,4,TACTICA,BUENO,NO,
532,SCRUM,ATLANTICO,4,TACTICA,BUENO,NO,
546,VUELTA,ATLANTICO,4,DESICION ,MALO ,NO,
556,KNOCK-ON,ATLANTICO,6,TACTICA,MALO ,NO,
620,VUELTA,NORTE,4,DESICION ,BUENO,SI,
637,CONVERSION,NORTE,4,TACTICA,MALO ,NO,
710,KICK-OFF,NORTE,4,TECNICA,BUENO,NO,
740,PENAL,NORTE,3,TECNICA,MALO ,NO,
742,JUEGO RAPIDO ,ATLANTICO,4,DESICION ,MALO ,NO,
754,VUELTA,ATLANTICO,4,DESICION ,MALO ,NO,
801,ERROR TACTICO,ATLANTICO,5,DESICION ,MALO ,NO,
810,KNOCK-ON,ATLANTICO,4,DESICION ,MALO ,NO,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,VALLE,1,TECNICA,MALO ,SI,
40,VUELTA,GUAJIRA,6,TECNICA,MALO ,NO,
41,PENAL,GUAJIRA,7,REGLAMENTO,MALO ,NO,
45,JUEGO RAPIDO ,VALLE,7,DESICION ,BUENO,NO,
53,ERROR TACTICO,VALLE,6,COMUNICACION ,MALO ,NO,
57,PENAL,GUAJIRA,5,FISICO ,MALO ,NO,
58,JUEGO RAPIDO ,VALLE,3,TACTICA,MALO ,NO,
108,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,
112,KNOCK-ON,VALLE,4,TECNICA,MALO ,NO,
130,SCRUM,GUAJIRA,4,TECNICA,BUENO,SI,
207,ERROR TACTICO,GUAJIRA,5,TACTICA,MALO ,NO,
240,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,NO,
250,PENAL,GUAJIRA,5,REGLAMENTO,MALO ,SI,
310,SCRUM,GUAJIRA,4,TACTICA,BUENO,NO,
333,FREE-KICK,GUAJIRA,4,REGLAMENTO,MALO ,NO,
335,SCRUM,VALLE,4,DESICION ,BUENO,NO,
420,ERROR TACTICO,VALLE,4,COMUNICACION ,MALO ,NO,
427,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,
451,LINE OUT,GUAJIRA,1,TECNICA,BUENO,SI,
523,JUEGO CON EL PIE ,GUAJIRA,4,TECNICA,MALO ,SI,
540,ERROR TACTICO,VALLE,5,COMUNICACION ,MALO ,NO,
552,PENAL,VALLE,6,FISICO ,MALO ,NO,
554,JUEGO RAPIDO ,GUAJIRA,3,TACTICA,REGULAR,NO,
630,TRY,GUAJIRA,5,TACTICA,BUENO,SI,
645,CONVERSION,GUAJIRA,4,TECNICA,BUENO,SI,
710,KICK-OFF,GUAJIRA,1,TECNICA,BUENO,NO,
746,KNOCK-ON,GUAJIRA,4,FISICO ,MALO ,SI,
1,KICK-OFF,GUAJIRA,-,TECNICA,BUENO,NO,
10,JUEGO RAPIDO ,VALLE,4,TACTICA,REGULAR,NO,
15,ERROR DE MANOS ,VALLE,4,TACTICA,MALO ,NO,
17,ERROR DE MANOS ,VALLE,6,DESICION ,MALO ,SI,
25,PENAL,VALLE,7,REGLAMENTO,MALO ,SI,
26,JUEGO RAPIDO ,GUAJIRA,7,TACTICA,BUENO,NO,
33,VUELTA,GUAJIRA,4,DESICION ,REGULAR,NO,
40,PENAL,VALLE,4,FISICO ,MALO ,NO,
42,JUEGO RAPIDO ,GUAJIRA,5,TACTICA,MALO ,NO,
100,COMPLETA ,GUAJIRA,7,TACTICA,BUENO,NO,
100,JUEGO CON EL PIE ,GUAJIRA,7,TECNICA,MALO ,NO,
110,PASS-FORWARD,GUAJIRA,6,TECNICA,MALO ,NO,
120,SCRUM,VALLE,4,REGLAMENTO,BUENO,NO,
136,PENAL,GUAJIRA,4,REGLAMENTO,MALO ,NO,
140,JUEGO RAPIDO ,VALLE,4,TACTICA,BUENO,SI,
142,ERROR DE MANOS ,VALLE,4,TECNICA,MALO ,NO,
144,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,NO,
151,PENAL,GUAJIRA,4,REGLAMENTO,MALO ,NO,
154,JUEGO RAPIDO ,VALLE,4,TACTICA,MALO ,NO,
206,ERROR TACTICO,GUAJIRA,6,REGLAMENTO,MALO ,NO,
210,JUEGO CON EL PIE ,VALLE,4,TECNICA,MALO ,NO,
218,PENAL AMARILLA ,GUAJIRA,4,REGLAMENTO,MALO ,NO,
225,SCRUM,VALLE,4,TACTICA,BUENO,SI,
246,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,NO,
250,LINE OUT,GUAJIRA,1,TECNICA,MALO ,NO,
329,SCRUM,VALLE,4,TECNICA,BUENO,SI,
356,ERROR DE MANOS ,VALLE,4,TECNICA,MALO ,SI,
400,ERROR DE MANOS ,VALLE,6,TECNICA,MALO ,SI,
412,PENAL,GUAJIRA,6,REGLAMENTO,MALO ,NO,
414,JUEGO RAPIDO ,VALLE,4,TACTICA,REGULAR,NO,
425,VUELTA,VALLE,6,TACTICA,REGULAR,NO,
428,ERROR DE MANOS ,VALLE,6,TACTICA,MALO ,NO,
444,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,
452,PENAL,GUAJIRA,7,TECNICA,MALO ,NO,
459,JUEGO RAPIDO ,VALLE,6,DESICION ,BUENO,NO,
538,CONVERSION,VALLE,4,TECNICA,MALO ,SI,
550,KICK-OFF,VALLE,2,TECNICA,REGULAR,NO,
610,PENAL,VALLE,6,REGLAMENTO,MALO ,NO,
620,JUEGO RAPIDO ,GUAJIRA,4,TACTICA,REGULAR,NO,
635,COMPLETA ,GUAJIRA,7,TACTICA,BUENO,NO,
642,TRY,GUAJIRA,7,TACTICA,BUENO,NO,
710,CONVERSION,GUAJIRA,4,TECNICA,BUENO,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,ANTIOQUIA,2,TECNICA,REGULAR,NO,
25,ERROR TACTICO,RISARALDA,7,TACTICA,MALO ,NO,
45,COMPLETA ,RISARALDA,7,TECNICA,REGULAR,NO,
56,KNOCK-ON,RISARALDA,4,TECNICA,MALO ,NO,
110,SCRUM,ANTIOQUIA,4,REGLAMENTO,MALO ,NO,
124,JUEGO RAPIDO ,RISARALDA,4,TACTICA,REGULAR,NO,
